ts,rx_id,env,dist_m,tx_level,rssi_mean,adv_rate,source,exp_adv,packet_success,packet_loss_proxy,rssi_norm,qos_score,optimal_level,energy_opt
8123,rx01,indoor_open,1,L0,-66.07692,13,summary_indoor_open_1m_L0.csv,21.0,0.6190476190476191,0.38095238095238093,0.8764569696969696,0.6962704242424242,L1,0.4
8124,rx01,indoor_open,1,L0,-66.77778,9,summary_indoor_open_1m_L0.csv,21.0,0.42857142857142855,0.5714285714285714,0.8552187878787877,0.5565656363636362,L2,0.6
8132,rx01,indoor_open,1,L0,-66.88889,9,summary_indoor_open_1m_L0.csv,21.0,0.42857142857142855,0.5714285714285714,0.8518518181818181,0.5555555454545453,L2,0.6
8133,rx01,indoor_open,1,L0,-67.94445,18,summary_indoor_open_1m_L0.csv,21.0,0.8571428571428571,0.1428571428571429,0.8198651515151514,0.8459595454545454,L0,0.2
8134,rx01,indoor_open,1,L0,-67.83334,6,summary_indoor_open_1m_L0.csv,21.0,0.2857142857142857,0.7142857142857143,0.823232121212121,0.4469696363636363,L2,0.6
8142,rx01,indoor_open,1,L0,-64.91666,12,summary_indoor_open_1m_L0.csv,21.0,0.5714285714285714,0.4285714285714286,0.9116163636363639,0.6734849090909092,L1,0.4
8143,rx01,indoor_open,1,L0,-65.7619,21,summary_indoor_open_1m_L0.csv,21.0,1.0,0.0,0.8860030303030304,0.965800909090909,L0,0.2
8144,rx01,indoor_open,1,L0,-66.36364,11,summary_indoor_open_1m_L0.csv,21.0,0.5238095238095238,0.47619047619047616,0.8677684848484848,0.6269972121212121,L1,0.4
8152,rx01,indoor_open,1,L0,-66.57143,7,summary_indoor_open_1m_L0.csv,21.0,0.3333333333333333,0.6666666666666667,0.861471818181818,0.49177487878787873,L2,0.6
8153,rx01,indoor_open,1,L0,-67.45834,24,summary_indoor_open_1m_L0.csv,21.0,1.0,0.0,0.8345957575757573,0.9503787272727271,L0,0.2
8154,rx01,indoor_open,1,L0,-68.0,8,summary_indoor_open_1m_L0.csv,21.0,0.38095238095238093,0.6190476190476191,0.8181818181818182,0.5121212121212121,L2,0.6
8162,rx01,indoor_open,1,L0,-66.81818,11,summary_indoor_open_1m_L0.csv,21.0,0.5238095238095238,0.47619047619047616,0.8539945454545456,0.6228650303030303,L1,0.4
8163,rx01,indoor_open,1,L0,-66.36842,19,summary_indoor_open_1m_L0.csv,21.0,0.9047619047619048,0.09523809523809523,0.8676236363636364,0.8936204242424242,L0,0.2
8164,rx01,indoor_open,1,L0,-65.5,8,summary_indoor_open_1m_L0.csv,21.0,0.38095238095238093,0.6190476190476191,0.8939393939393939,0.5348484848484848,L2,0.6
8172,rx01,indoor_open,1,L0,-65.77778,9,summary_indoor_open_1m_L0.csv,21.0,0.42857142857142855,0.5714285714285714,0.885521818181818,0.5656565454545454,L2,0.6
8173,rx01,indoor_open,1,L0,-66.90909,22,summary_indoor_open_1m_L0.csv,21.0,1.0,0.0,0.8512396969696968,0.955371909090909,L0,0.2
8174,rx01,indoor_open,1,L0,-68.22222,9,summary_indoor_open_1m_L0.csv,21.0,0.42857142857142855,0.5714285714285714,0.811447878787879,0.5434343636363637,L2,0.6
8182,rx01,indoor_open,1,L0,-68.0,12,summary_indoor_open_1m_L0.csv,21.0,0.5714285714285714,0.4285714285714286,0.8181818181818182,0.6454545454545454,L1,0.4
8183,rx01,indoor_open,1,L0,-67.28,25,summary_indoor_open_1m_L0.csv,21.0,1.0,0.0,0.84,0.952,L0,0.2
8184,rx01,indoor_open,1,L0,-67.33334,12,summary_indoor_open_1m_L0.csv,21.0,0.5714285714285714,0.4285714285714286,0.8383836363636361,0.6515150909090908,L1,0.4
8192,rx01,indoor_open,1,L0,-68.63636,11,summary_indoor_open_1m_L0.csv,21.0,0.5238095238095238,0.47619047619047616,0.798898181818182,0.6063361212121212,L1,0.4
8193,rx01,indoor_open,1,L0,-69.38889,18,summary_indoor_open_1m_L0.csv,21.0,0.8571428571428571,0.1428571428571429,0.7760942424242423,0.8328282727272727,L0,0.2
8194,rx01,indoor_open,1,L0,-68.375,8,summary_indoor_open_1m_L0.csv,21.0,0.38095238095238093,0.6190476190476191,0.8068181818181818,0.5087121212121211,L2,0.6
8202,rx01,indoor_open,1,L0,-66.61539,13,summary_indoor_open_1m_L0.csv,21.0,0.6190476190476191,0.38095238095238093,0.8601396969696968,0.6913752424242423,L1,0.4
8203,rx01,indoor_open,1,L0,-66.5625,16,summary_indoor_open_1m_L0.csv,21.0,0.7619047619047619,0.23809523809523814,0.8617424242424242,0.7918560606060605,L0,0.2
8204,rx01,indoor_open,1,L0,-68.0,9,summary_indoor_open_1m_L0.csv,21.0,0.42857142857142855,0.5714285714285714,0.8181818181818182,0.5454545454545454,L2,0.6
8538,rx01,indoor_open,1,L1,-68.0,18,summary_indoor_open_1m_L1.csv,21.0,0.8571428571428571,0.1428571428571429,0.8181818181818182,0.8454545454545455,L0,0.2
8539,rx01,indoor_open,1,L1,-67.66666,18,summary_indoor_open_1m_L1.csv,21.0,0.8571428571428571,0.1428571428571429,0.8282830303030305,0.8484849090909091,L0,0.2
8540,rx01,indoor_open,1,L1,-66.44444,9,summary_indoor_open_1m_L1.csv,21.0,0.42857142857142855,0.5714285714285714,0.86532,0.559596,L2,0.6
8546,rx01,indoor_open,1,L1,-65.71429,7,summary_indoor_open_1m_L1.csv,21.0,0.3333333333333333,0.6666666666666667,0.8874457575757574,0.4995670606060605,L2,0.6
8547,rx01,indoor_open,1,L1,-65.57895,19,summary_indoor_open_1m_L1.csv,21.0,0.9047619047619048,0.09523809523809523,0.8915469696969696,0.9007974242424241,L0,0.2
8548,rx01,indoor_open,1,L1,-67.80952,21,summary_indoor_open_1m_L1.csv,21.0,1.0,0.0,0.8239539393939392,0.9471861818181817,L0,0.2
